clean_review,sentiment
nice,Positive
"best biryani , so supportive staff of outlet , personalize my order on call as i say. full paisa vasool ",Positive
delivery boy was very decent and supportive.,Positive
"worst biryani i have tasted in my life, half of the biryani is in dustbin. ",Negative
all food is good and tasty . will order again and lots more to explore in bawarchi's menu. ,Positive
shandar zabardast zindabad .. good going bawarchi keep it up ,Positive
overall good experience . will order again,Positive
good but cold of food,Positive
tasty food . homestyle tasty prepration. ,Neutral
loved it . 5/5 . ,Positive
"full paisa vasool , taste me best bawarchi aur everest . .. ",Positive
"good taste , authentic punjabi style matar paneer . feels good to have such food in surat .",Positive
very tasty authentic food .. ,Neutral
superb tasty asli dilli wala flavour,Positive
yummiest manchurian fried rice i have ever had in city . authentic chinese taste. must order once ,Neutral
veey tasty. . order again nd again,Neutral
i have ordered manchurian fried rice but instead i got only simple fried rice. feeling like i am cheated by bawarchi restaurant.,Negative
very bad not properly cooked,Negative
delicious ,Positive
chinese cheese kulcha . good fusion of chinsese with punjabi cuisine.  accomplish with dal makhni and yummy butter milk must order ,Positive
"tasteis best , zabardast mouthwatering . must order again ",Positive
taste less nd took 55 min to deliver the order,Neutral
i have tried a lot of dishes from bawarchi and choosing the best between them is a really tough task as all dishes are awesome.,Positive
bawarchi satisfied there customer needs,Positive
too helping nature of resturent owners,Positive
"i have tried many items from bawarchi , these ppl never disappoint me ..keep it up ",Positive
"awesome experience guys...these people really care about their customer satisfaction...try and order, i am sure u will love the taste...",Positive
something good for cocktail party... as the restaurant has mentioned... good... quantity was good too... lage raho ,Positive
superb taste really supreme thali in taste and quantity,Positive
free pizza was not given to me. pizza hut does fraud till customer's condition is fulfilled.,Positive
its good ,Positive
"free san francisco margarita pizza, for orders above 799  was not delivered, though order was above 1000.   ",Positive
pizza base is not baked properly... it's not crunchy..... then la pinos s pizza is baked properly,Neutral
good experience.,Positive
on time!,Neutral
very bad. waste of money pizza hut no more like before very bad quality,Negative
pizza got cold........waste of money ,Neutral
rotten pizza,Negative
"had ordered a mushroom and corn pizza, got only a corn one",Neutral
mast,Neutral
food is not hot,Neutral
osm,Neutral
no topping they have served only bread,Negative
